epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64752,2.05769,3.74121,1.69505,0.01064,0.10811,0.04164,0.00731,3.24817,3.56827,2.49677,0,0,0
2,8.17303,2.39078,3.81264,1.95275,0.00763,0.09459,0.04068,0.00711,3.21768,3.56252,2.46766,1.40071e-05,1.40071e-05,1.40071e-05
3,10.6792,2.87109,3.74697,2.36903,0.00654,0.09459,0.04308,0.00742,3.19688,3.5561,2.4435,2.74482e-05,2.74482e-05,2.74482e-05
4,13.134,2.31587,3.71206,1.83546,0.01286,0.26014,0.05136,0.01122,3.16896,3.55154,2.40922,4.03235e-05,4.03235e-05,4.03235e-05
5,16.2573,1.71497,3.70252,1.3194,0.01415,0.28716,0.06589,0.01327,3.14229,3.53406,2.37604,5.26329e-05,5.26329e-05,5.26329e-05
6,21.0394,2.43047,3.65749,1.96211,0.01137,0.24662,0.0689,0.01646,3.13526,3.51106,2.36483,6.43764e-05,6.43764e-05,6.43764e-05
7,25.0831,2.05463,3.62391,1.57996,0.01392,0.32264,0.07562,0.02037,3.16274,3.50076,2.3833,7.55541e-05,7.55541e-05,7.55541e-05
8,28.9397,2.29624,3.64354,1.69974,0.01265,0.27365,0.07523,0.02216,3.13854,3.47938,2.31109,8.61658e-05,8.61658e-05,8.61658e-05
9,32.8882,2.38155,3.6356,1.7969,0.0145,0.33615,0.08027,0.02259,3.18889,3.48997,2.30279,9.62117e-05,9.62117e-05,9.62117e-05
10,36.614,1.79658,3.48505,1.37804,0.00986,0.19764,0.08042,0.0247,3.20634,3.51006,2.32095,0.000105692,0.000105692,0.000105692
11,40.7095,1.72792,3.42836,1.31923,0.01611,0.36318,0.09598,0.02689,3.23691,3.49613,2.33624,0.000114606,0.000114606,0.000114606
12,44.4884,1.82225,3.40873,1.34357,0.0162,0.36318,0.10364,0.02654,3.187,3.5078,2.32514,0.000122954,0.000122954,0.000122954
13,48.2119,2.14063,3.38978,1.52036,0.02012,0.48818,0.12071,0.02788,3.15566,3.51743,2.37374,0.000130736,0.000130736,0.000130736
14,51.8236,2.26773,3.33249,1.6848,0.01709,0.41216,0.10831,0.02548,3.11012,3.4918,2.28334,0.000137953,0.000137953,0.000137953
15,55.5121,2.10914,3.26718,1.5865,0.01337,0.28716,0.12587,0.03197,3.11516,3.48588,2.28786,0.000144603,0.000144603,0.000144603
16,59.0983,2.03651,3.21329,1.4908,0.0186,0.43919,0.14149,0.02975,3.09966,3.48762,2.2805,0.000150688,0.000150688,0.000150688
